movie_ID,keywords
402431,"witch, dancing, based on novel or book, college, wish, musical, female friendship, bullying, based on play or musical, celebrity, prequel, singer, singing, corrupt politician, death in childbirth, fantasy world, wizard, gravity, discrimination, ostracism, woman in wheelchair, musical comedy, sister sister relationship, belonging, fantasy, romantic fantasy, fantasy comedy, admiring, adoring, ambiguous, powerful"
1116490,"police, gangster, fbi, bank heist, bank job, hostages"
1041317,
1022789,"sadness, disgust, sequel, computer animation, teenage girl, fear, anger, envy, nostalgic, aftercreditsstinger, duringcreditsstinger, emotions, embarrasment, joy, anxiety"
335983,"spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment, venom"
1084736,"based on novel or book, count, revenge, wrongful conviction"
1196470,
928480,"friendship, detective, summer"
1014505,"magic, anime, isekai, based on light novel, vrmmo"
1100856,
1029235,"sacrifice, aggressive, ancient evil, azrael"
580489,"hero, psychopath, superhero, anti hero, villain, alien life-form, based on comic, sequel, fear, aftercreditsstinger, symbiote, carnage"
98,"epic, gladiator, rome, italy, arena, senate, roman empire, parent child relationship, emperor, slavery, ancient rome, revenge, battlefield, slave auction, historical fiction, ancient world, combat, chariot, philosopher, barbarian horde, 2nd century, successor, commodus, maximus, serene, defiant"
1094974,"sequel, u.s. navy seal"
976734,"central intelligence agency (cia), spy thriller"
1288998,
592831,"new year's eve, epic, infidelity, suicide, widow, wedding reception, dystopia, mayor, attempted murder, architect, manipulation, seduction, satellite, utopia, politician, surrealism, riot, time, alcoholism, interracial relationship, disaster, mistress, stroke, uncle nephew relationship, cousin cousin relationship, existentialism, hope for future, assassination attempt, death of wife, after disaster, wealthy family, mother daughter relationship, hopeful, tragic"
889737,"asylum, villain, musical, insane asylum, based on comic, sequel, courtroom, mental illness, madness, super villain, supervillain, 1980s, prisoner abuse, dark romance, jukebox musical"
1331375,"assassin, escape, police, colombia, action, audacious, enthusiastic"
1241982,"sea, ocean, villain, musical, sequel, duringcreditsstinger"
1328814,"haunting, paranormal investigation, amityville"
1371727,based on short
1144962,
1159311,"based on manga, super power, shounen, anime, teen superhero, based on tv series"
1287717,found footage
573435,"miami, florida, sequel, on the run, police detective, buddy cop, buddy comedy, aftercreditsstinger, hilarious, exhilarated"
157336,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, time-manipulation, father daughter relationship, introspective, 2060s, cornfield, time manipulation, dramatic, suspenseful, awestruck, informative"
269509,"based on novel or book, halloween, family, ghost, halloween costume, eccentric family, animation, cinema"
917496,"afterlife, haunted house, sequel, paranormal, teenage girl, gothic, death, new england, ghost, horror comedy, unexpected death, mother daughter relationship, mischievous, fantasy, fantasy comedy, ghoulish, ridiculous"
1140648,
420634,"halloween, clown, gore, slasher, maniac, killer clown, evil clown, based on short, independent film"
1063877,"paralysis, absurd, disheartening"
978796,
1125510,"capitalism, survival, anarchism, semi-prequel, secret prison, food shortage, social experiment, dystopian sci-fi, social dynamics"
1151949,"mission, martial arts, assassin, gangster, redemption, revenge, gang, female protagonist, female assassin, one man army, complex, sympathetic"
1010581,"first time, forbidden love, stepbrother, female protagonist, underage sex, stepsister, disturbed, based on young adult novel, enemies to lovers, passion and romance, car, disapproving, disgusted, step-sibling romance"
827931,"high school, time travel, time machine, serial killer, teenage girl, woman director, murder mystery, 2000s, lgbt interest, absurd, cliché, 2020s"
726139,"asia, bridge, disaster, incheon, dogs"
155,"joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir, bold"
823219,"ocean, cat, boat, dystopia, dog, golden retriever, flood, calm, bird, 3d animation, fantasy, capybara, adventure, joyful, straightforward"
957452,"husband wife relationship, soulmates, superhero, crow, based on comic, remake, revenge, murder, back from the dead, death, true love, awakening, dark romance, re-imagining, gloomy, based on comic strip"
1145491,
482600,"softcore, depressed, romantic"
1288575,"mother, based on novel or book, father, family relationships, female protagonist, crying, childhood, womb, life, emotional"
1139095,
972614,"hitman, investigation, dementia, police investigation, father daughter conflict, father son relationship, job gone wrong"
1354627,
616446,"road trip, twin brother, reformed criminal"
663712,"halloween, clown, gore, resurrection, sequel, slasher, killer, macabre, killer clown, duringcreditsstinger, evil clown, halloween night, crowdfunded film, independent film, megaslasher, dramatic, audacious"
947891,"canada, women's sexual identity, time travel, romantic comedy, time, coming of age, magic mushroom, drug trip, lgbt teen, young love, woman director, time paradox, summer cottage, message from the future, lake house, woman centric, non-binary, lesbian, independent film, cranbrook, bisexual woman, teenager, cranberries, lesbian love, gay teenager, adoring, mind expansion, meeting your future self, family farm, family cottage"
639720,"friendship, imaginary friend, aftercreditsstinger, imaginary, live action and animation, imagination, lighthearted"
1079091,"based on novel or book, love triangle, abusive father, trauma, florist, flashback, love, domestic abuse, domestic violence, repressed trauma, abusive relationship, adaptation, romantic drama"
24428,"new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
991610,
748783,"friendship, cat, villain, based on comic, lasagne, computer animation, based on cartoon, food, dog, female villain, aftercreditsstinger, father son relationship, adaptation, absurd"
1290287,"holiday, romantic comedy, romance, anthropomorphism, love, snowman, christmas, quirky, cheerful, feel-good"
823464,"giant monster, sequel, dinosaur, monkey, kaiju, fantasy world, giant ape, langue française, godzilla, king kong"
653346,"empire, kingdom, gorilla, dystopia, eagle, sequel, anthropomorphism, distant future, ape, orangutan, evolution, chimpanzee, primate, sign languages, journey, cgi-live action hybrid, post-apocalyptic, evil tyrant"
814889,"shapeshifting, woods, psychological horror"
1292359,"sequel, romantic drama"
173705,"sexploitation, 学生眼中的女老师, 女教師 生徒の眼の前で"
1147710,"airplane, 1970s, hijacking, airplane hijacking, terrorist bombing, inter-korean relations"
637649,"robbery, crime boss, revenge, shootout, shooter, los angeles, california, theft, security guard, ex soldier, aggressive, cash truck, earnest"
1137205,"small town, waitress, killing spree, roadside diner, independent film"
603692,"new york city, martial arts, berlin, germany, hitman, sequel, organized crime, osaka, japan, blindness, aftercreditsstinger, hunted, consequences, aggressive, professional assassin, neo-noir, emotional, exhilarated, japanese mafia, japan style, located in japan"
1120911,"new york city, chaos, 1970s, biography, based on true story, sketch comedy, live television, nostalgic, anxious, live studio audience, playful, witty, audacious, bold, exhilarated, vibrant"
1011985,"martial arts, kung fu, china, villain, sequel, panda, anthropomorphism, chameleon, female villain, disheartening, pretentious"
939243,"moon, sequel, based on video game, dual role, aftercreditsstinger, duringcreditsstinger, hedgehog, live action and animation, grandfather grandson relationship, animal human friendship, anthropomorphic animal, hilarious, intense, loss and grief, amused, compassionate, sonic cinematic universe, sonic adventure 2"
1156593,"based on novel or book, suicide attempt, sequel, mental health, romantic drama"
1373893,
824003,"comic book, master thief, based on comic, gentleman thief, diabolik"
783110,"1970s, smugglers, smuggling, haenyeo"
1141182,"outbreak, zombie, zombie apocalypse"
718821,"dying and death, rodeo, climate, tornado, twister, natural disaster, oklahoma, storm chaser, weather, disaster, storm, meteorologist, duringcreditsstinger, disaster movie, weather chasers, social media influencer, youtuber, extreme weather, science experiment"
1147400,"paris, france, superhero, kids"
385687,"sequel, revenge, betrayal, racing, family, cliffhanger, shocking, cars, dramatic, ominous"
940551,"duck, villain, migration, flight, anthropomorphism, family, animals, chef, overprotective father, illumination, bird, casual"
1153291,
786892,"post-apocalyptic future, prequel, spin off, struggle for survival, tyranny, masculinity, grim, revenge murderer, mother daughter relationship, child abduction, post-apocalyptic, amused, brisk, film in chapters"
507241,"based on novel or book, hitman, terminal illness, action comedy, comedy thriller"
1144911,"based on true story, anaesthesia, business rivalry, revenge thriller, murder for hire"
693134,"epic, based on novel or book, fight, politics, sandstorm, sand, spice, chosen one, cult, sequel, romance, tragedy, distant future, tragic hero, creature, planet, desert, destiny, giant worm, space opera, sand dune, allegorical, messiah, fall from grace, shocking, domineering, vengeance, vindictive, cautionary, religious allegory, giant creature, power, grand, violence, suspenseful, intense, romantic, antagonistic, audacious, awestruck, bold, exuberant, foreboding, melodramatic, tragic"
1152774,
588648,"fantasy world, giant dragon, animation"
762441,"monster, escape, cat, alien, prequel, survival, survivalist, fear, spin off, noise, silence, quiet, hopeful"
259872,
820530,"dancing, based on manga, lgbt, acting, gay romance, boys' love (bl), foreign"
1160018,"train, one man army, relationship, train robbery, aggressive, action hero, high octane"
1064028,"artificial intelligence (a.i.), robot, sex scene"
1329336,"amulet, heist"
1255208,"independent film, dark magic"
1079485,"mutant, sequel, revenge, slasher, based on children's book, psychotic villain, traumatic childhood, child abduction, independent film, winnie the pooh, stern, horrified, blood and honey, the twisted childhood universe"
1087822,"witch, spider, based on comic, coal mine, 1950s"
1361292,house
365177,"outlaw, based on video game, unlikely friendship, talking robot, missing girl, band of misfits, mysterious power"
156022,"assassin, corruption, hitman, call girl, sadism, hostage, gangster, fbi, gore, remake, sociopath, revenge, vigilante, organized crime, teenage prostitute, commando, interrogation, surveillance, fake death, ex soldier, loner, black ops, hand to hand combat, mysterious past, vigilante justice, intense"
1104171,"new york city, hopeless romantic, loving, romantic, admiring, celebratory, comforting, hopeful, joyful"
1047373,"police, deaf, police corruption, witness to murder, police detective"
974950,"based on novel or book, musical, lawyer, drug lord, crime lord, questioning, based on opera, criminal organization, mexican cartel, transgender, self-redemption, admiring, amused, audacious, enchant"
1129598,"missionary, plane crash"
1249532,"zombie animals, small town sheriff, australian outback"
634649,"new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, villain, portal, sequel, vigilante, superhero team, masked vigilante, spider web, alternative reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), fight for justice, teen superhero, superhero teamup, returning hero, crossover, teamwork, admiring"
667538,"peru, alien, end of the world, based on toy, robot, duringcreditsstinger, 1990s, brother brother relationship"
671,"witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, ghost, fantasy world, wizard, based on young adult novel, owl, wizarding world"
464026,softcore
1138194,"faith, affectation, religion, cat and mouse, mormon missionary, eccentric man, women of faith, foreboding, frightened"
18183,"jealousy, sibling relationship, based on novel or book, cooking, marriage, mexican revolution, platonic love, wedding, single mother, magic realism, former lovers, lovers separated, mexican cooking recipes"
1114513,"husband wife relationship, manipulation, remake, hopeless, weekend getaway, europe vacation, children in danger, psychological horror, disturbing, depressing, gloomy"
299536,"sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
1066262,"new zealand, maori, period piece, 1830s"
1337309,"bangkok, thailand"
3933,"skeleton, love triangle, cheating, wedding vows, shyness, arranged marriage, marriage, grave, villain, musical, wedding ring, money, stop motion, wedding, corpse, wedding ceremony, playing piano, parents, macabre, dark fantasy, ring, scoundrel, 19th century, underworld, romantic, ghoulish"
243352,"baseball, down syndrome"
1139566,"based on novel or book, class differences, teenage romance"
1357459,"softcore, lesbian, girls love, sexy, lgbtq"
929590,"sniper, new york city, race against time, washington dc, usa, the white house, civil war, post-traumatic stress disorder (ptsd), photographer, dystopia, war photographer, road trip, president, female protagonist, soldier, fictional war, photojournalism, xenophobia, assassination of president, suicide bombing, usa politics, war trauma, mass grave, war journalism, charlottesville, near future, dreary, violence, foreboding, ominous, urgent"
1215162,
877817,"hotel room, dark comedy, lone wolf, drugs, buddy comedy, fixer, drug kingpin, intense, arrogant, brisk, job gone wrong"
882598,"suicide, new jersey, post-traumatic stress disorder (ptsd), therapist, detective, paranoia, trauma, curse, hospital, doctor, mental illness, evil, self-harm, demonic, smile, based on short"
831815,"squirrel, texas, road trip, save the day, based on tv series"
1306764,"village, abandoned house, survival, zombie, psychological thriller, family, survival horror, mental health, farm house, zombie apocalypse, small village, aggressive, post apocalypse, secret, tense"
438631,"empire, future, epic, army, based on novel or book, prophecy, dystopia, emperor, sand, spice, hallucinogen, treason, baron, revenge, premonition, betrayal, space, water shortage, creature, desert, knife fight, destiny, giant worm, space opera, sand dune, messiah, domineering, mother son relationship, wonder, giant creature, grand, suspenseful, intense, audacious, awestruck, bold, exuberant, foreboding, powerful"
1139829,"cat, fear, based on children's book, fear of the dark, horror for children, magical creature, overcoming fears, fears, dark, creatures"
1726,"middle east, superhero, arms dealer, malibu, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism"
502356,"gorilla, plumber, villain, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, illumination, evil king, amused"
315162,"fairy tale, sequel, talking dog, spin off, aftercreditsstinger, talking cat, fear of death"
829557,"gangster, sequel, bdsm, rich man poor woman, sex, erotique"
354912,"skeleton, mexico, guitar, afterlife, musician, holiday, villain, singer, murderer, life after death, child, day of the dead, music, boy"
569094,"new york city, hero, sacrifice, superhero, villain, portal, based on comic, sequel, romance, alter ego, alternate dimension, india, parenting, family, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teenage romance, young heroes, teen superhero, teen social issues, chelsea, alternate universe, superhero teamup, female superhero, slow burn romance, grand, interdimensional travel, sentimental, audacious, bold, defiant, exhilarated, exuberant, vibrant"
238,"based on novel or book, loss of loved one, love at first sight, italy, symbolism, patriarch, europe, organized crime, mafia, religion, lawyer, revenge motive, crime family, sicilian mafia, religious hypocrisy, macabre, gun violence, rise to power, dead horse, gang violence, aggressive, 1940s, 1950s, mafia war, vindictive, dramatic, suspenseful, tense, audacious, commanding"
1089123,"widow, shapeshifting, forest, grief, alcoholic, entity, dead father, folk horror, guardianship, stepmother stepson relationship"
177572,"friendship, martial arts, hero, sibling relationship, san francisco, california, superhero, talent, cartoon, villain, based on comic, revenge, tokyo, japan, best friend, another dimension, robot, east asian lead, boy genius, super villain, aftercreditsstinger, villain arrested, supervillain, moral dilemma, teen superhero, dead brother, hopeful"
1217134,
826510,"based on children's book, live action and animation, crayon, imagination, moose"
278,"prison, friendship, police brutality, corruption, based on novel or book, freedom, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover, ambiguous"
323260,"male prostitution, erotic movie, 鸭王"
86328,"slasher, psychotic, evil clown, short film"
1059264,"racoon, computer animation, family, toy, homemade toys, animation"
587727,"softcore, erotic movie, 大胸女友, 가슴 큰 여자친구, kang min-sik"
1104844,"based on manga, anime"
923667,"martial arts, kung fu, based on comic, based on manhwa"
974262,"descendant, time travel, musical, spin off, cinderella, wonderland"
1226578,"homicide, fbi, religion and supernatural, haunting, satanism, barn, satanist, code, oregon, usa, flashback, murder, serial killer, religion, female protagonist, corpse, series of murders, violent death, killing spree, catholic, death, death in family, occult, satanic ritual, satanic cult, clairvoyant, crime spree, rookie, crime investigation, manic, sadistic psychopath, unsettling, scary doll, accomplice, 1990s, dread, creepy doll, psychological terror, singing in a car, haunted doll, homicide investigation, supernatural horror, female investigator, police procedural, children in danger, criminal plot, psychological horror, horrific crime, film in chapters"
16869,"guerrilla warfare, swastika, paris, france, nazi, self sacrifice, sadism, dynamite, mexican standoff, world war ii, jew persecution, masochism, anti-semitism, german occupation of france, british politics, revisionist history, adolf hitler"
1042657,"mind control, action thriller"
414906,"police, psychopath, secret identity, crime fighter, superhero, nightclub, politician, based on comic, vigilante, organized crime, serial killer, millionaire, social injustice, murder investigation, aftercreditsstinger, masked superhero, political corruption, neo-noir, somber, vengeance, mayoral election, tense"
420818,"africa, lion, prince, redemption, musical, uncle, remake, grief, king, family, sidekick, live action and animation, father son relationship, live action remake"
1075676,"japanese invasion of korea, joseon dynasty"
346698,"feminism, satire, patriarchy, based on toy, female protagonist, doll, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, playful, gender discrimination, barbie, sentimental, hilarious, secret world, whimsical, amused, audacious, celebratory, sarcastic, sympathetic, matel"
762509,"friendship, paradise, lion, musical, prequel, jungle, told in flashback, betrayal by friend, chance meeting, live action remake, found family, loving, lost, inspirational"
324786,"japan, hero, world war ii, abusive father, affectation, pacifism, bible, gore, vegetarian, biography, based on true story, okinawa, conscientious objector, religion, soldier, alcoholic, war hero, pacifist, medic, us military, battle of okinawa, congressional medal of honor, amused, ww2, wwii, combat medic, weaponless, seventh-day adventists"
1154215,
1359227,"superhero, lego"
16219,"chicago, illinois, sports, boxer, fistfight, gay interest, tournament, racial tension, boxing"
166426,"sea, ship, treasure map, sequel, artifact, pirate, period drama, monkey, swashbuckler, ghost, caribbean sea, aftercreditsstinger, trident"
158011,"underground, gas station, kidnapping, psychopath, incest overtones, murder, serial killer, torture chamber, slasher, psychological thriller, multiple stabbings, person on fire, cell phone, guilt, psycho, emotionally disturbed, disturbed, emergency services"
62835,"street gang, uncle, female assassin, witness to murder"
603,"man vs machine, martial arts, dreams, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, messiah, action hero, gnosticism, awestruck, allegory of the cave"
337167,"based on novel or book, eroticism, sequel, bdsm"
975022,
597,"epic, ship, drowning, panic, shipwreck, evacuation, iceberg, titanic, forbidden love, ocean liner, based on true story, rich woman poor man, love, tragedy, tragic love, disaster, historical fiction, class differences, love affair, historical event, lifeboat, star crossed lovers, sinking ship, steerage, rich snob, disaster movie, 1910s, sunken ship, ambiguous"
269149,"sheep, allegory, lion, hippopotamus, cartoon, villain, bullying, polar bear, con artist, anthropomorphism, revenge, conspiracy, urban, female protagonist, rookie cop, missing person, fable, racial prejudice, injustice, reconciliation, female villain, buddy cop, stereotype, cartoon rabbit, villain arrested, discrimination, cartoon bear, cartoon animal, cartoon fox, cartoon elephant, joyful"
1579,"loss of loved one, maya civilization, village, solar eclipse, slavery, tribe, native american, forest, human sacrifice, central america, ancient civilization, 16th century, maya temple, ancient language film"
931944,"village, melancholy, austria, forest, 18th century, infanticide, folk horror, period piece"
1154864,"horror anthology, children"
929563,"based on cartoon, farmer family, family life"
166428,"based on novel or book, flying, villain, vikings (norsemen), sequel, overpopulation, dragon, love interest, based on children's book, adoring"
260346,"california, escape, funeral, gas station, detective, bodyguard, suspicion of murder, golf, penthouse apartment, morgue, car crash, sequel, confusion, murder, fugitive, on the run, shootout, police chase, explosion, foot chase, anger, group of friends, death of mother, surveillance camera, murder investigation, failing marriage, ex-husband ex-wife relationship, police surveillance, wanted man, police inspector, framed for murder, protective father, gps, money problems, elevator, prime suspect, college student, rich husband, ex special forces, ex-cia agent, unhappy marriage, unplanned pregnancy, spetsnaz, secret hideout, innocent suspect, lost money, father daughter relationship, army veteran, associates, secret investigation, homicide investigation, russian, deep sadness, enemy, evasion, in love with ex, mystery, tense, honorable, stepfather stepdaughter relationship, death of ex, spy tech, outsmart, special skills, owe money to criminals"
244786,"new york city, concert, jazz, musician, obsession, music teacher, conservatory, drums, montage, perfectionist, perfection, public humiliation, jazz band, young adult, music school, based on short, drummer"
1233327,"bet, casino, crime boss, betting"
1280655,
361743,"fighter pilot, u.s. navy, sequel, nuclear weapons, military, nostalgic, aircraft carrier, naval aviation, war, grand, tense, sentimental, admiring, audacious, earnest, exuberant"
840705,"rape, forgiveness, exploitation, dark comedy, seclusion, sexual violence, psychological thriller, gender roles, therapy, self esteem, debauchery, woman director, philanthropy, entitlement, abuse of power, toxic masculinity, repressed trauma, gaslighting, psychological manipulation, drugging someone, me too movement"
1139817,"martial arts, police officer, dramatic, amused"
787699,"chocolate, musical, prequel, nostalgic, duringcreditsstinger, cartel"
567811,
245891,"hitman, bratva (russian mafia), gangster, secret organization, revenge, murder, dog, retired, widower"
330457,"princess, magic, kingdom, winter, queen, castle, musical, sequel, dam, spirit, aftercreditsstinger, frozen, personification, thoughtful, mother daughter relationship, compassionate"
231001,"halloween, gore, babysitter, slasher, torture, cynical, killer clown, videotape, evil alien, aggressive, horror anthology, short film, horrified"
335984,"future, android, bounty hunter, artificial intelligence (a.i.), genetics, dystopia, sequel, cyberpunk, los angeles, california, las vegas, tech noir, meditative, blade runner, complex, 2040s, cautionary, audacious, compassionate"
8871,"new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, cynical, public humiliation, christmas, surreal world, absurd, hilarious, disgusted"
1631,"puberty, first time, france, parent child relationship, love at first sight, eroticism, women's sexual identity, provocation, precocity, girls' boarding school, teenage crush, woman director"
1210794,"remake, joyful"
120,"based on novel or book, orcs, elves, dwarf, magic, obsession, bravery, fireworks, mine, maze, mountain, castle, birthday party, battle, demon, blizzard, uncle nephew relationship, fantasy world, journey, ring, invisibility, live action and animation, hero's journey, wraith, sword and sorcery, trekking, good versus evil, creatures, awestruck, excited, epic quest, hobbits, trolls"
1182047,"new york city, rape, corruption, aids, funeral, politics, blackmail, 1970s, biography, based on true story, atlantic city, lawyer, debt, bribery, misogyny, death of brother, character study, marital rape, wiretapping, mentor protégé relationship, real estate, discrimination, degenerate, 1980s, closeted homosexual, father son relationship, brother brother relationship, hiv/aids epidemic, absurd, malfeasance"
122,"army, based on novel or book, orcs, elves, dwarf, magic, kingdom, obsession, bravery, castle, volcano, giant spider, sequel, honor, king, brutality, madness, split personality, fantasy world, wizard, epic battle, journey, ring, quest, live action and animation, hero's journey, high fantasy, wraith, sword and sorcery, power madness, great war, trekking, good versus evil, sword making, war, backstory, creatures, awestruck, epic quest, winged creatures, hobbits, armies, spirits, army of the dead"
11544,"sibling relationship, mutation, extraterrestrial technology, hawaii, adoption, villain, alien life-form, alien, dog, dead parents, native hawaiian, playful"
198663,"based on novel or book, escape, dystopia, maze, post-apocalyptic future, memory loss, erased memory, trapped, runner, based on young adult novel"
15255,jail
1140168,
575264,"race against time, mission, rome, italy, chase, secret mission, secret agent, sequel, intelligence agency, rogue agent, paranoid, based on tv series, secret government agency, grand, suspenseful, critical, tense, northern norway, audacious, bold, exuberant, tragic"
2454,"witch, epic, sibling relationship, based on novel or book, faith, lion, wretch, prince, matter of life and death, uncle, family relationships, battle, based on children's book, fantasy world, 1940s, high fantasy, isekai, based on young adult novel, good versus evil"
76600,"dying and death, loss of loved one, alien life-form, resurrection, dysfunctional family, sequel, alien planet, distant future, adopted child, rebirth, family dynamics, adopted son, stronger villain, war, furious"
916192,"high school, adolescence, based on novel or book, legend, supernatural, time travel, tragedy, school, seinen, anime, japanese high school, time manipulation, japanese high school student"
360920,"holiday, surrealism, remake, based on children's book, christmas, illumination"
168259,"car race, speed, street race, revenge, race, muscle car, admiring"
9479,"skeleton, fire, magic, holiday, santa claus, halloween, villain, musical, christmas tree, saving christmas, pumpkin, woods, stop motion, christmas horror, christmas"
1022796,"friendship, villain, black magic, wish, musical, computer animation, female protagonist, betrayal by friend, aftercreditsstinger, woman director, wicked king, disabled person, evil king, star, corrupt government, hopeful"
1025596,"winter, montana, idaho, motel, arms dealer, strip club, bag of money, shootout, traveling salesman, drug runner, 1990s, drug deal, criminals, violence"
1147416,"london, england, superhero, kids, romantic, لندن, السفر عبر الزمن, ميراكلوس, بانيكس"
672,"witch, flying car, elves, magic, sword, diary, child hero, school of witchcraft, giant spider, black magic, giant snake, ghost, child driving car, wizard, aftercreditsstinger, christmas, based on young adult novel, wizarding world"
808,"princess, based on novel or book, magic, fairy tale, donkey, liberation, lordship, prince, castle, villain, robin hood, enchantment, swamp, parody, anthropomorphism, dragon, woman director, ogre, absurd, cartoon donkey, admiring"
423108,"supernatural, exorcism, connecticut, sequel, paranormal investigation, 1980s, somber, religious horror, the conjuring universe, frightened"
1151534,"lost at sea, survival at sea, absurd, awestruck, distressing, tragic"
324857,"superhero, based on comic, aftercreditsstinger, alternate universe"
1279837,
772,"new york city, burglar, holiday, family relationships, sequel, slapstick comedy, little boy, home invasion, family, precocious child, home alone, mischievous child, christmas, kids on their own, child rescue, cheerful, comforting, xmas"
1064213,"new year's eve, new york city, marriage, boardwalk, baptism, strip club, coney island, mafia, female protagonist, mansion, las vegas, brooklyn, new york city, screwball comedy, immaturity, city hall, exotic dancer, sex worker, meddling parents, annulment, strip show, russian oligarch, sex, party, romantic dramedy, cinderella story, brighton beach"
4232,"high school, small town, riddle, killing, halloween, house party, serial killer, school, slasher, whodunit, killing spree, phone, tabloid, news reporter, self-referential, crime spree, halloween costume, young adult, teenager, teen scream"
150540,"dreams, san francisco, california, minnesota, sadness, cartoon, disgust, ice hockey, imaginary friend, elementary school, family relationships, memory, fear, family, anger, unicorn, running away, duringcreditsstinger, emotions, philosophical, joy, brisk"
1048241,"central intelligence agency (cia), spy, sequel, adult child friendship, male female friendship"
949484,
254128,"california, san francisco, california, looting, earthquake, tsunami, disaster, los angeles, california, helicopter pilot, scientist, teenage daughter, seismologist, catastrophe, disaster movie, divorced couple, san andreas, california, helicopter crash, mass destruction, rescue operation, tectonic plates, hoover dam, search and rescue, lafd - los angeles fire department, aftershocks"
10191,"friendship, ship, blacksmith, island, based on novel or book, flying, arena, village, villain, training, ignorance, vikings (norsemen), forest, flight, nest, dragon, battle, combat, well, warrior, pets"
14836,"friendship, dreams, based on novel or book, villain, eye, stuffed animal, stop motion, parallel world, button, new home, secret door, female villain, aftercreditsstinger, duringcreditsstinger, horror for children, talking cat, somber, parallel universe, neil gaiman, coraline, callous, frightened, ghoulish, gloomy, coraline y la puerta"
216015,"bad smell, based on novel or book, eroticism, perversion, spanking, billionaire, rich, bdsm, woman director, baffled"
